PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SF,LeBron James (14073724),LeBron James,14073724,PG/SF/F/G/UTIL,11200,NO@LAL 01/03/2020 10:30PM ET,LAL,56.06
,,,,,,,,,PG/SG,James Harden (14073729),James Harden,14073729,PG/SG/G/UTIL,10900,PHI@HOU 01/03/2020 08:00PM ET,HOU,62.72
,,,,,,,,,PF/C,Anthony Davis (14073733),Anthony Davis,14073733,PF/C/F/UTIL,10300,NO@LAL 01/03/2020 10:30PM ET,LAL,51.65
,,,,,,,,,PG,Damian Lillard (14073737),Damian Lillard,14073737,PG/G/UTIL,9700,POR@WAS 01/03/2020 07:00PM ET,POR,46.74
,,,,,,,,,C,Hassan Whiteside (14073740),Hassan Whiteside,14073740,C/UTIL,9500,POR@WAS 01/03/2020 07:00PM ET,POR,40.97
,,,,,,,,,C,Joel Embiid (14073742),Joel Embiid,14073742,C/UTIL,9400,PHI@HOU 01/03/2020 08:00PM ET,PHI,48.63
,,,,,,,,,PG,Trae Young (14073744),Trae Young,14073744,PG/G/UTIL,9200,ATL@BOS 01/03/2020 07:00PM ET,ATL,48.71
,,,,,,,,,PG,Russell Westbrook (14073747),Russell Westbrook,14073747,PG/G/UTIL,9000,PHI@HOU 01/03/2020 08:00PM ET,HOU,48.33
,,,,,,,,,SG,Bradley Beal (14073750),Bradley Beal,14073750,SG/G/UTIL,8500,POR@WAS 01/03/2020 07:00PM ET,WAS,46.46
,,,,,,,,,PG,Kemba Walker (14073753),Kemba Walker,14073753,PG/G/UTIL,8300,ATL@BOS 01/03/2020 07:00PM ET,BOS,38.97
,,,,,,,,,SF/PF,Jayson Tatum (14073756),Jayson Tatum,14073756,SF/PF/F/UTIL,8200,ATL@BOS 01/03/2020 07:00PM ET,BOS,38.98
,,,,,,,,,PG/SF,Ben Simmons (14073760),Ben Simmons,14073760,PG/SF/F/G/UTIL,8100,PHI@HOU 01/03/2020 08:00PM ET,PHI,41.02
,,,,,,,,,C,Nikola Vucevic (14073765),Nikola Vucevic,14073765,C/UTIL,8000,MIA@ORL 01/03/2020 07:00PM ET,ORL,41.56
,,,,,,,,,PG/SG,Devin Booker (14073767),Devin Booker,14073767,PG/SG/G/UTIL,7900,NY@PHO 01/03/2020 09:00PM ET,PHO,40.82
,,,,,,,,,SG/SF,Jimmy Butler (14073771),Jimmy Butler,14073771,SG/SF/F/G/UTIL,7800,MIA@ORL 01/03/2020 07:00PM ET,MIA,43.52
,,,,,,,,,SF/PF,Brandon Ingram (14073776),Brandon Ingram,14073776,SF/PF/F/UTIL,7800,NO@LAL 01/03/2020 10:30PM ET,NO,43.32
,,,,,,,,,SG/SF,Jaylen Brown (14073780),Jaylen Brown,14073780,SG/SF/F/G/UTIL,7700,ATL@BOS 01/03/2020 07:00PM ET,BOS,35.93
,,,,,,,,,PF/C,Julius Randle (14073785),Julius Randle,14073785,PF/C/F/UTIL,7700,NY@PHO 01/03/2020 09:00PM ET,NY,36.36
,,,,,,,,,C,Bam Adebayo (14073789),Bam Adebayo,14073789,C/UTIL,7600,MIA@ORL 01/03/2020 07:00PM ET,MIA,40.49
,,,,,,,,,PF/C,John Collins (14073791),John Collins,14073791,PF/C/F/UTIL,7500,ATL@BOS 01/03/2020 07:00PM ET,ATL,39.64
,,,,,,,,,PG/SG,Jrue Holiday (14073795),Jrue Holiday,14073795,PG/SG/G/UTIL,7400,NO@LAL 01/03/2020 10:30PM ET,NO,40.36
,,,,,,,,,C,Deandre Ayton (14073799),Deandre Ayton,14073799,C/UTIL,7300,NY@PHO 01/03/2020 09:00PM ET,PHO,36.06
,,,,,,,,,PG,Ricky Rubio (14073801),Ricky Rubio,14073801,PG/G/UTIL,7200,NY@PHO 01/03/2020 09:00PM ET,PHO,36.77
,,,,,,,,,PG/SG,CJ McCollum (14073804),CJ McCollum,14073804,PG/SG/G/UTIL,7100,POR@WAS 01/03/2020 07:00PM ET,POR,36.54
,,,,,,,,,SF/PF,Gordon Hayward (14073808),Gordon Hayward,14073808,SF/PF/F/UTIL,7000,ATL@BOS 01/03/2020 07:00PM ET,BOS,33.65
,,,,,,,,,C,Clint Capela (14073814),Clint Capela,14073814,C/UTIL,6900,PHI@HOU 01/03/2020 08:00PM ET,HOU,39.41
,,,,,,,,,C,Jusuf Nurkic (14073812),Jusuf Nurkic,14073812,C/UTIL,6900,POR@WAS 01/03/2020 07:00PM ET,POR,0
,,,,,,,,,SF/PF,Kelly Oubre Jr. (14073816),Kelly Oubre Jr.,14073816,SF/PF/F/UTIL,6800,NY@PHO 01/03/2020 09:00PM ET,PHO,32.84
,,,,,,,,,SF/PF,Carmelo Anthony (14073820),Carmelo Anthony,14073820,SF/PF/F/UTIL,6700,POR@WAS 01/03/2020 07:00PM ET,POR,29.18
,,,,,,,,,SF/PF,Tobias Harris (14073824),Tobias Harris,14073824,SF/PF/F/UTIL,6600,PHI@HOU 01/03/2020 08:00PM ET,PHI,35.21
,,,,,,,,,PG,Elfrid Payton (14073828),Elfrid Payton,14073828,PG/G/UTIL,6500,NY@PHO 01/03/2020 09:00PM ET,NY,24.44
,,,,,,,,,PF/C,Zion Williamson (14073831),Zion Williamson,14073831,PF/C/F/UTIL,6400,NO@LAL 01/03/2020 10:30PM ET,NO,0
,,,,,,,,,SF/PF,Jonathan Isaac (14073835),Jonathan Isaac,14073835,SF/PF/F/UTIL,6300,MIA@ORL 01/03/2020 07:00PM ET,ORL,30.70
,,,,,,,,,PF/C,Derrick Favors (14073839),Derrick Favors,14073839,PF/C/F/UTIL,6200,NO@LAL 01/03/2020 10:30PM ET,NO,26.85
,,,,,,,,,SG/SF,Evan Fournier (14073843),Evan Fournier,14073843,SG/SF/F/G/UTIL,6100,MIA@ORL 01/03/2020 07:00PM ET,ORL,30.21
,,,,,,,,,PG,Lonzo Ball (14073848),Lonzo Ball,14073848,PG/G/UTIL,6000,NO@LAL 01/03/2020 10:30PM ET,NO,28.14
,,,,,,,,,SG/SF,Josh Richardson (14073851),Josh Richardson,14073851,SG/SF/F/G/UTIL,5900,PHI@HOU 01/03/2020 08:00PM ET,PHI,27.76
,,,,,,,,,PF/C,Al Horford (14073862),Al Horford,14073862,PF/C/F/UTIL,5800,PHI@HOU 01/03/2020 08:00PM ET,PHI,30.52
,,,,,,,,,PG/SG,Jordan McRae (14073858),Jordan McRae,14073858,PG/SG/G/UTIL,5800,POR@WAS 01/03/2020 07:00PM ET,WAS,21.75
,,,,,,,,,C,Mitchell Robinson (14073856),Mitchell Robinson,14073856,C/UTIL,5800,NY@PHO 01/03/2020 09:00PM ET,NY,25.38
,,,,,,,,,SF/PF,Aaron Gordon (14073866),Aaron Gordon,14073866,SF/PF/F/UTIL,5700,MIA@ORL 01/03/2020 07:00PM ET,ORL,29.20
,,,,,,,,,SF/PF,Marcus Morris Sr. (14073870),Marcus Morris Sr.,14073870,SF/PF/F/UTIL,5600,NY@PHO 01/03/2020 09:00PM ET,NY,30.54
,,,,,,,,,C,Enes Kanter (14073874),Enes Kanter,14073874,C/UTIL,5500,ATL@BOS 01/03/2020 07:00PM ET,BOS,22.60
,,,,,,,,,SG/SF,Troy Brown (14073876),Troy Brown,14073876,SG/SF/F/G/UTIL,5400,POR@WAS 01/03/2020 07:00PM ET,WAS,22.23
,,,,,,,,,PG,Goran Dragic (14073881),Goran Dragic,14073881,PG/G/UTIL,5400,MIA@ORL 01/03/2020 07:00PM ET,MIA,28.56
,,,,,,,,,PG,Isaiah Thomas (14073884),Isaiah Thomas,14073884,PG/G/UTIL,5300,POR@WAS 01/03/2020 07:00PM ET,WAS,23.90
,,,,,,,,,SF/PF,Davis Bertans (14073891),Davis Bertans,14073891,SF/PF/F/UTIL,5200,POR@WAS 01/03/2020 07:00PM ET,WAS,28.23
,,,,,,,,,PG/SG,Kevin Huerter (14073887),Kevin Huerter,14073887,PG/SG/G/UTIL,5200,ATL@BOS 01/03/2020 07:00PM ET,ATL,21.98
,,,,,,,,,SF/PF,Kyle Kuzma (14073895),Kyle Kuzma,14073895,SF/PF/F/UTIL,5200,NO@LAL 01/03/2020 10:30PM ET,LAL,19.49
,,,,,,,,,C,Ian Mahinmi (14073903),Ian Mahinmi,14073903,C/UTIL,5100,POR@WAS 01/03/2020 07:00PM ET,WAS,20.73
,,,,,,,,,PG/SG,Marcus Smart (14073905),Marcus Smart,14073905,PG/SG/G/UTIL,5100,ATL@BOS 01/03/2020 07:00PM ET,BOS,26.33
,,,,,,,,,PG/SG,RJ Barrett (14073899),RJ Barrett,14073899,PG/SG/G/UTIL,5100,NY@PHO 01/03/2020 09:00PM ET,NY,26.54
,,,,,,,,,PG,D.J. Augustin (14073909),D.J. Augustin,14073909,PG/G/UTIL,5000,MIA@ORL 01/03/2020 07:00PM ET,ORL,22.29
,,,,,,,,,PF/C,Thomas Bryant (14073916),Thomas Bryant,14073916,PF/C/F/UTIL,4900,POR@WAS 01/03/2020 07:00PM ET,WAS,31.49
,,,,,,,,,PG/SG,Markelle Fultz (14073912),Markelle Fultz,14073912,PG/SG/G/UTIL,4900,MIA@ORL 01/03/2020 07:00PM ET,ORL,23.59
,,,,,,,,,PG/SF,Justise Winslow (14073920),Justise Winslow,14073920,PG/SF/F/G/UTIL,4900,MIA@ORL 01/03/2020 07:00PM ET,MIA,29.22
,,,,,,,,,PF/C,Rui Hachimura (14073925),Rui Hachimura,14073925,PF/C/F/UTIL,4800,POR@WAS 01/03/2020 07:00PM ET,WAS,25.17
,,,,,,,,,SF/PF,Danuel House Jr. (14073929),Danuel House Jr.,14073929,SF/PF/F/UTIL,4700,PHI@HOU 01/03/2020 08:00PM ET,HOU,22.07
,,,,,,,,,PF/C,Moritz Wagner (14073933),Moritz Wagner,14073933,PF/C/F/UTIL,4600,POR@WAS 01/03/2020 07:00PM ET,WAS,23.49
,,,,,,,,,PF/C,Isaiah Hartenstein (14073937),Isaiah Hartenstein,14073937,PF/C/F/UTIL,4500,PHI@HOU 01/03/2020 08:00PM ET,HOU,15.38
,,,,,,,,,PG/SG,Avery Bradley (14073941),Avery Bradley,14073941,PG/SG/G/UTIL,4500,NO@LAL 01/03/2020 10:30PM ET,LAL,15.01
,,,,,,,,,PG/SG,Kendrick Nunn (14073945),Kendrick Nunn,14073945,PG/SG/G/UTIL,4400,MIA@ORL 01/03/2020 07:00PM ET,MIA,27.24
,,,,,,,,,PG/SG,Gary Payton II (14073949),Gary Payton II,14073949,PG/SG/G/UTIL,4300,POR@WAS 01/03/2020 07:00PM ET,WAS,27.6
,,,,,,,,,C,Alex Len (14073956),Alex Len,14073956,C/UTIL,4300,ATL@BOS 01/03/2020 07:00PM ET,ATL,19.52
,,,,,,,,,PG,Rajon Rondo (14073953),Rajon Rondo,14073953,PG/G/UTIL,4300,NO@LAL 01/03/2020 10:30PM ET,LAL,21.56
,,,,,,,,,PG,Ish Smith (14073958),Ish Smith,14073958,PG/G/UTIL,4200,POR@WAS 01/03/2020 07:00PM ET,WAS,22.37
,,,,,,,,,SF/PF,De'Andre Hunter (14073963),De'Andre Hunter,14073963,SF/PF/F/UTIL,4200,ATL@BOS 01/03/2020 07:00PM ET,ATL,22.17
,,,,,,,,,C,Dwight Howard (14073967),Dwight Howard,14073967,C/UTIL,4200,NO@LAL 01/03/2020 10:30PM ET,LAL,19.55
,,,,,,,,,C,Aron Baynes (14073961),Aron Baynes,14073961,C/UTIL,4200,NY@PHO 01/03/2020 09:00PM ET,PHO,24.94
,,,,,,,,,PF/C,Bobby Portis (14073969),Bobby Portis,14073969,PF/C/F/UTIL,4100,NY@PHO 01/03/2020 09:00PM ET,NY,20.91
