PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
13993209,13992951,13993004,13992942,13993030,13992882,13992874,13992998,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SG,James Harden (13992870),James Harden,13992870,PG/SG/G/UTIL,12400,HOU@LAC 12/19/2019 10:30PM ET,HOU,63.18
,,,,,,,,,SF/PF,Giannis Antetokounmpo (13992874),Giannis Antetokounmpo,13992874,SF/PF/F/UTIL,11300,LAL@MIL 12/19/2019 08:00PM ET,MIL,61.11
,,,,,,,,,PF/C,Anthony Davis (13992878),Anthony Davis,13992878,PF/C/F/UTIL,10100,LAL@MIL 12/19/2019 08:00PM ET,LAL,52.24
,,,,,,,,,PG/SF,LeBron James (13992882),LeBron James,13992882,PG/SF/F/G/UTIL,10000,LAL@MIL 12/19/2019 08:00PM ET,LAL,55.58
,,,,,,,,,PG,Trae Young (13992887),Trae Young,13992887,PG/G/UTIL,9800,UTA@ATL 12/19/2019 07:30PM ET,ATL,48.69
,,,,,,,,,PG,Kyrie Irving (13992890),Kyrie Irving,13992890,PG/G/UTIL,9700,BKN@SA 12/19/2019 08:30PM ET,BKN,50.07
,,,,,,,,,PG,Russell Westbrook (13992893),Russell Westbrook,13992893,PG/G/UTIL,9300,HOU@LAC 12/19/2019 10:30PM ET,HOU,47.59
,,,,,,,,,SF/PF,Kawhi Leonard (13992896),Kawhi Leonard,13992896,SF/PF/F/UTIL,9200,HOU@LAC 12/19/2019 10:30PM ET,LAC,47.19
,,,,,,,,,SF,Paul George (13992900),Paul George,13992900,SF/F/UTIL,8500,HOU@LAC 12/19/2019 10:30PM ET,LAC,41.72
,,,,,,,,,PG/SG,Donovan Mitchell (13992903),Donovan Mitchell,13992903,PG/SG/G/UTIL,8000,UTA@ATL 12/19/2019 07:30PM ET,UTA,39.43
,,,,,,,,,PG/SG,Spencer Dinwiddie (13992907),Spencer Dinwiddie,13992907,PG/SG/G/UTIL,7900,BKN@SA 12/19/2019 08:30PM ET,BKN,36.72
,,,,,,,,,C,Rudy Gobert (13992911),Rudy Gobert,13992911,C/UTIL,7800,UTA@ATL 12/19/2019 07:30PM ET,UTA,39.36
,,,,,,,,,C,Clint Capela (13992913),Clint Capela,13992913,C/UTIL,7600,HOU@LAC 12/19/2019 10:30PM ET,HOU,40.02
,,,,,,,,,PF/C,LaMarcus Aldridge (13992915),LaMarcus Aldridge,13992915,PF/C/F/UTIL,7300,BKN@SA 12/19/2019 08:30PM ET,SA,36.31
,,,,,,,,,SG/SF,DeMar DeRozan (13992919),DeMar DeRozan,13992919,SG/SF/F/G/UTIL,7000,BKN@SA 12/19/2019 08:30PM ET,SA,36.64
,,,,,,,,,PF/C,John Collins (13992924),John Collins,13992924,PF/C/F/UTIL,6900,UTA@ATL 12/19/2019 07:30PM ET,ATL,36.9
,,,,,,,,,SF/PF,Bojan Bogdanovic (13992928),Bojan Bogdanovic,13992928,SF/PF/F/UTIL,6700,UTA@ATL 12/19/2019 07:30PM ET,UTA,31.75
,,,,,,,,,C,Jarrett Allen (13992932),Jarrett Allen,13992932,C/UTIL,6500,BKN@SA 12/19/2019 08:30PM ET,BKN,31.56
,,,,,,,,,SG/SF,Khris Middleton (13992934),Khris Middleton,13992934,SG/SF/F/G/UTIL,6300,LAL@MIL 12/19/2019 08:00PM ET,MIL,32.43
,,,,,,,,,PG,Eric Bledsoe (13992939),Eric Bledsoe,13992939,PG/G/UTIL,6200,LAL@MIL 12/19/2019 08:00PM ET,MIL,31.72
,,,,,,,,,PF/C,Montrezl Harrell (13992942),Montrezl Harrell,13992942,PF/C/F/UTIL,6100,HOU@LAC 12/19/2019 10:30PM ET,LAC,34.66
,,,,,,,,,SG/SF,Joe Ingles (13992946),Joe Ingles,13992946,SG/SF/F/G/UTIL,6000,UTA@ATL 12/19/2019 07:30PM ET,UTA,22.46
,,,,,,,,,PG/SG,Lou Williams (13992951),Lou Williams,13992951,PG/SG/G/UTIL,5900,HOU@LAC 12/19/2019 10:30PM ET,LAC,34.13
,,,,,,,,,PG/SF,Caris LeVert (13992955),Caris LeVert,13992955,PG/SF/F/G/UTIL,5800,BKN@SA 12/19/2019 08:30PM ET,BKN,29.58
,,,,,,,,,PG,Dejounte Murray (13992960),Dejounte Murray,13992960,PG/G/UTIL,5700,BKN@SA 12/19/2019 08:30PM ET,SA,27.11
