Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14009438),Giannis Antetokounmpo,14009438,SF/PF/F/UTIL,11700,MIL@NY 12/21/2019 07:30PM ET,MIL,61.22
PG/SG,James Harden (14009442),James Harden,14009442,PG/SG/G/UTIL,11600,HOU@PHO 12/21/2019 09:00PM ET,HOU,62.76
C,Karl-Anthony Towns (14009446),Karl-Anthony Towns,14009446,C/UTIL,10600,MIN@POR 12/21/2019 10:00PM ET,MIN,53.74
C,Andre Drummond (14009448),Andre Drummond,14009448,C/UTIL,10300,CHI@DET 12/21/2019 07:00PM ET,DET,49.29
C,Joel Embiid (14009450),Joel Embiid,14009450,C/UTIL,10200,WAS@PHI 12/21/2019 07:00PM ET,PHI,48.68
SF,Paul George (14009452),Paul George,14009452,SF/F/UTIL,9500,LAC@SA 12/21/2019 08:30PM ET,LAC,42.64
PG,Russell Westbrook (14009455),Russell Westbrook,14009455,PG/G/UTIL,9400,HOU@PHO 12/21/2019 09:00PM ET,HOU,48.11
PG,Damian Lillard (14009458),Damian Lillard,14009458,PG/G/UTIL,8900,MIN@POR 12/21/2019 10:00PM ET,POR,46.79
SG,Bradley Beal (14009461),Bradley Beal,14009461,SG/G/UTIL,8600,WAS@PHI 12/21/2019 07:00PM ET,WAS,47.10
SF/PF,Kawhi Leonard (14009464),Kawhi Leonard,14009464,SF/PF/F/UTIL,8500,LAC@SA 12/21/2019 08:30PM ET,LAC,46.99
C,Hassan Whiteside (14009468),Hassan Whiteside,14009468,C/UTIL,8400,MIN@POR 12/21/2019 10:00PM ET,POR,40.04
PG/SG,Devin Booker (14009470),Devin Booker,14009470,PG/SG/G/UTIL,8300,HOU@PHO 12/21/2019 09:00PM ET,PHO,40.36
PG/SF,Ben Simmons (14009474),Ben Simmons,14009474,PG/SF/F/G/UTIL,8200,WAS@PHI 12/21/2019 07:00PM ET,PHI,39.51
C,Jusuf Nurkic (14009479),Jusuf Nurkic,14009479,C/UTIL,8100,MIN@POR 12/21/2019 10:00PM ET,POR,0
C,Clint Capela (14009481),Clint Capela,14009481,C/UTIL,8000,HOU@PHO 12/21/2019 09:00PM ET,HOU,39.85
PG/SG,Zach LaVine (14009483),Zach LaVine,14009483,PG/SG/G/UTIL,7900,CHI@DET 12/21/2019 07:00PM ET,CHI,37.92
SG/SF,Andrew Wiggins (14009487),Andrew Wiggins,14009487,SG/SF/F/G/UTIL,7800,MIN@POR 12/21/2019 10:00PM ET,MIN,39.82
PG,Ja Morant (14009492),Ja Morant,14009492,PG/G/UTIL,7700,SAC@MEM 12/21/2019 08:00PM ET,MEM,34.75
C,Deandre Ayton (14009495),Deandre Ayton,14009495,C/UTIL,7600,HOU@PHO 12/21/2019 09:00PM ET,PHO,41.62
SF/PF,Tobias Harris (14009497),Tobias Harris,14009497,SF/PF/F/UTIL,7500,WAS@PHI 12/21/2019 07:00PM ET,PHI,35.43
PF/C,LaMarcus Aldridge (14009501),LaMarcus Aldridge,14009501,PF/C/F/UTIL,7400,LAC@SA 12/21/2019 08:30PM ET,SA,36.72
PG/SG,CJ McCollum (14009505),CJ McCollum,14009505,PG/SG/G/UTIL,7300,MIN@POR 12/21/2019 10:00PM ET,POR,37.01
PG,Ricky Rubio (14009509),Ricky Rubio,14009509,PG/G/UTIL,7200,HOU@PHO 12/21/2019 09:00PM ET,PHO,36.80
