Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Zach LaVine (13972246),Zach LaVine,13972246,PG/SG/G/UTIL,7500,CHI@OKC 12/16/2019 08:00PM ET,CHI,37.34
PF/C,Lauri Markkanen (13972330),Lauri Markkanen,13972330,PF/C/F/UTIL,6000,CHI@OKC 12/16/2019 08:00PM ET,CHI,28.54
PF/C,Wendell Carter Jr. (13972343),Wendell Carter Jr.,13972343,PF/C/F/UTIL,5800,CHI@OKC 12/16/2019 08:00PM ET,CHI,29.06
SF/PF,Otto Porter Jr. (13972418),Otto Porter Jr.,13972418,SF/PF/F/UTIL,5000,CHI@OKC 12/16/2019 08:00PM ET,CHI,21.03
PG/SF,Tomas Satoransky (13972422),Tomas Satoransky,13972422,PG/SF/F/G/UTIL,5000,CHI@OKC 12/16/2019 08:00PM ET,CHI,23.87
PG/SF,Kris Dunn (13972464),Kris Dunn,13972464,PG/SF/F/G/UTIL,4700,CHI@OKC 12/16/2019 08:00PM ET,CHI,19.8
SF/PF,Thaddeus Young (13972516),Thaddeus Young,13972516,SF/PF/F/UTIL,4300,CHI@OKC 12/16/2019 08:00PM ET,CHI,19.72
PG/SG,Coby White (13972524),Coby White,13972524,PG/SG/G/UTIL,4200,CHI@OKC 12/16/2019 08:00PM ET,CHI,21.43
SG/SF,Denzel Valentine (13972592),Denzel Valentine,13972592,SG/SF/F/G/UTIL,3800,CHI@OKC 12/16/2019 08:00PM ET,CHI,14.77
PF/C,Luke Kornet (13972634),Luke Kornet,13972634,PF/C/F/UTIL,3600,CHI@OKC 12/16/2019 08:00PM ET,CHI,7.25
C,Daniel Gafford (13972674),Daniel Gafford,13972674,C/UTIL,3400,CHI@OKC 12/16/2019 08:00PM ET,CHI,9.4
PG/SF,Shaquille Harrison (13973011),Shaquille Harrison,13973011,PG/SF/F/G/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,8.74
PG/SG,Ryan Arcidiacono (13973016),Ryan Arcidiacono,13973016,PG/SG/G/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,9.49
C,Cristiano Felicio (13973020),Cristiano Felicio,13973020,C/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,0
SF/PF,Chandler Hutchison (13973022),Chandler Hutchison,13973022,SF/PF/F/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,14.19
SG,Max Strus (13973026),Max Strus,13973026,SG/G/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,3.12
PG/SG,Adam Mokoka (13973029),Adam Mokoka,13973029,PG/SG/G/UTIL,3000,CHI@OKC 12/16/2019 08:00PM ET,CHI,0
PF/C,Kevin Love (13972276),Kevin Love,13972276,PF/C/F/UTIL,6800,CLE@TOR 12/16/2019 07:30PM ET,CLE,36.03
C,Tristan Thompson (13972369),Tristan Thompson,13972369,C/UTIL,5600,CLE@TOR 12/16/2019 07:30PM ET,CLE,32.64
PG/SG,Collin Sexton (13972431),Collin Sexton,13972431,PG/SG/G/UTIL,4900,CLE@TOR 12/16/2019 07:30PM ET,CLE,26.18
SG/SF,Jordan Clarkson (13972448),Jordan Clarkson,13972448,SG/SF/F/G/UTIL,4800,CLE@TOR 12/16/2019 07:30PM ET,CLE,22.95
PF/C,Larry Nance Jr. (13972551),Larry Nance Jr.,13972551,PF/C/F/UTIL,4000,CLE@TOR 12/16/2019 07:30PM ET,CLE,23.46
PG,Darius Garland (13972579),Darius Garland,13972579,PG/G/UTIL,3800,CLE@TOR 12/16/2019 07:30PM ET,CLE,18.31
SG/SF,Kevin Porter Jr. (13972582),Kevin Porter Jr.,13972582,SG/SF/F/G/UTIL,3800,CLE@TOR 12/16/2019 07:30PM ET,CLE,16.53
SF/PF,Cedi Osman (13972622),Cedi Osman,13972622,SF/PF/F/UTIL,3600,CLE@TOR 12/16/2019 07:30PM ET,CLE,19.42
C,John Henson (13972723),John Henson,13972723,C/UTIL,3100,CLE@TOR 12/16/2019 07:30PM ET,CLE,13.22
PG/SG,Matthew Dellavedova (13972725),Matthew Dellavedova,13972725,PG/SG/G/UTIL,3100,CLE@TOR 12/16/2019 07:30PM ET,CLE,8.33
