PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SF,Luka Doncic (14003624),Luka Doncic,14003624,PG/SF/F/G/UTIL,11700,DAL@PHI 12/20/2019 08:00PM ET,DAL,58.43
,,,,,,,,,C,Karl-Anthony Towns (14003629),Karl-Anthony Towns,14003629,C/UTIL,10800,MIN@DEN 12/20/2019 09:00PM ET,MIN,53.74
,,,,,,,,,C,Joel Embiid (14003631),Joel Embiid,14003631,C/UTIL,10000,DAL@PHI 12/20/2019 08:00PM ET,PHI,48.02
,,,,,,,,,C,Andre Drummond (14003633),Andre Drummond,14003633,C/UTIL,9600,DET@BOS 12/20/2019 07:30PM ET,DET,49.56
,,,,,,,,,PF/C,Pascal Siakam (14003635),Pascal Siakam,14003635,PF/C/F/UTIL,9500,WAS@TOR 12/20/2019 07:30PM ET,TOR,44.77
,,,,,,,,,C,Nikola Jokic (14003639),Nikola Jokic,14003639,C/UTIL,9400,MIN@DEN 12/20/2019 09:00PM ET,DEN,43.47
,,,,,,,,,SG,Bradley Beal (14003641),Bradley Beal,14003641,SG/G/UTIL,9100,WAS@TOR 12/20/2019 07:30PM ET,WAS,46.71
,,,,,,,,,SG/SF,Jimmy Butler (14003644),Jimmy Butler,14003644,SG/SF/F/G/UTIL,9000,NY@MIA 12/20/2019 08:00PM ET,MIA,44.29
,,,,,,,,,C,Bam Adebayo (14003649),Bam Adebayo,14003649,C/UTIL,8900,NY@MIA 12/20/2019 08:00PM ET,MIA,40.87
,,,,,,,,,PG,Damian Lillard (14003651),Damian Lillard,14003651,PG/G/UTIL,8800,ORL@POR 12/20/2019 10:00PM ET,POR,46.60
,,,,,,,,,SF/PF,Brandon Ingram (14003654),Brandon Ingram,14003654,SF/PF/F/UTIL,8700,NO@GS 12/20/2019 10:30PM ET,NO,42.96
,,,,,,,,,PG/SG,Jrue Holiday (14003658),Jrue Holiday,14003658,PG/SG/G/UTIL,8600,NO@GS 12/20/2019 10:30PM ET,NO,40.12
,,,,,,,,,PG,Kyle Lowry (14003669),Kyle Lowry,14003669,PG/G/UTIL,8500,WAS@TOR 12/20/2019 07:30PM ET,TOR,39.88
,,,,,,,,,PG,Stephen Curry (14003662),Stephen Curry,14003662,PG/G/UTIL,8500,NO@GS 12/20/2019 10:30PM ET,GS,39.38
,,,,,,,,,PF/C,Kristaps Porzingis (14003665),Kristaps Porzingis,14003665,PF/C/F/UTIL,8500,DAL@PHI 12/20/2019 08:00PM ET,DAL,37.14
,,,,,,,,,C,Hassan Whiteside (14003676),Hassan Whiteside,14003676,C/UTIL,8400,ORL@POR 12/20/2019 10:00PM ET,POR,39.97
,,,,,,,,,PF/C,Domantas Sabonis (14003672),Domantas Sabonis,14003672,PF/C/F/UTIL,8400,SAC@IND 12/20/2019 07:00PM ET,IND,43.15
,,,,,,,,,PG/SG,Devin Booker (14003678),Devin Booker,14003678,PG/SG/G/UTIL,8400,PHO@OKC 12/20/2019 08:00PM ET,PHO,40.90
,,,,,,,,,PG,Kemba Walker (14003682),Kemba Walker,14003682,PG/G/UTIL,8300,DET@BOS 12/20/2019 07:30PM ET,BOS,40.41
,,,,,,,,,PG/SG,D'Angelo Russell (14003685),D'Angelo Russell,14003685,PG/SG/G/UTIL,8300,NO@GS 12/20/2019 10:30PM ET,GS,37.69
,,,,,,,,,C,Jusuf Nurkic (14003689),Jusuf Nurkic,14003689,C/UTIL,8200,ORL@POR 12/20/2019 10:00PM ET,POR,0
,,,,,,,,,C,Nikola Vucevic (14003691),Nikola Vucevic,14003691,C/UTIL,8100,ORL@POR 12/20/2019 10:00PM ET,ORL,40.31
,,,,,,,,,SG/SF,Andrew Wiggins (14003693),Andrew Wiggins,14003693,SG/SF/F/G/UTIL,8000,MIN@DEN 12/20/2019 09:00PM ET,MIN,40.02
,,,,,,,,,PG/SF,Ben Simmons (14003698),Ben Simmons,14003698,PG/SF/F/G/UTIL,7900,DAL@PHI 12/20/2019 08:00PM ET,PHI,39.68
,,,,,,,,,PG,Ja Morant (14003703),Ja Morant,14003703,PG/G/UTIL,7800,MEM@CLE 12/20/2019 07:00PM ET,MEM,35
,,,,,,,,,PG/SG,Fred VanVleet (14003706),Fred VanVleet,14003706,PG/SG/G/UTIL,7700,WAS@TOR 12/20/2019 07:30PM ET,TOR,37.83
,,,,,,,,,PG/SG,Malcolm Brogdon (14003710),Malcolm Brogdon,14003710,PG/SG/G/UTIL,7700,SAC@IND 12/20/2019 07:00PM ET,IND,37.99
,,,,,,,,,PG,Chris Paul (14003714),Chris Paul,14003714,PG/G/UTIL,7600,PHO@OKC 12/20/2019 08:00PM ET,OKC,35.12
,,,,,,,,,SF/PF,Jayson Tatum (14003719),Jayson Tatum,14003719,SF/PF/F/UTIL,7500,DET@BOS 12/20/2019 07:30PM ET,BOS,38.25
,,,,,,,,,C,Deandre Ayton (14003717),Deandre Ayton,14003717,C/UTIL,7500,PHO@OKC 12/20/2019 08:00PM ET,PHO,41.62
,,,,,,,,,PF/C,Serge Ibaka (14003723),Serge Ibaka,14003723,PF/C/F/UTIL,7400,WAS@TOR 12/20/2019 07:30PM ET,TOR,26.91
,,,,,,,,,PG,Ricky Rubio (14003727),Ricky Rubio,14003727,PG/G/UTIL,7300,PHO@OKC 12/20/2019 08:00PM ET,PHO,36.59
,,,,,,,,,PF/C,Kevin Love (14003730),Kevin Love,14003730,PF/C/F/UTIL,7200,MEM@CLE 12/20/2019 07:00PM ET,CLE,36.06
,,,,,,,,,PF/C,Julius Randle (14003738),Julius Randle,14003738,PF/C/F/UTIL,7100,NY@MIA 12/20/2019 08:00PM ET,NY,34.63
,,,,,,,,,SF/PF,Tobias Harris (14003734),Tobias Harris,14003734,SF/PF/F/UTIL,7100,DAL@PHI 12/20/2019 08:00PM ET,PHI,36.24
,,,,,,,,,PG,De'Aaron Fox (14003742),De'Aaron Fox,14003742,PG/G/UTIL,7000,SAC@IND 12/20/2019 07:00PM ET,SAC,35.4
,,,,,,,,,SF/PF,Davis Bertans (14003745),Davis Bertans,14003745,SF/PF/F/UTIL,6900,WAS@TOR 12/20/2019 07:30PM ET,WAS,28.41
,,,,,,,,,SG/SF,Jaylen Brown (14003755),Jaylen Brown,14003755,SG/SF/F/G/UTIL,6900,DET@BOS 12/20/2019 07:30PM ET,BOS,34.73
,,,,,,,,,PG/SG,Shai Gilgeous-Alexander (14003751),Shai Gilgeous-Alexander,14003751,PG/SG/G/UTIL,6900,PHO@OKC 12/20/2019 08:00PM ET,OKC,31.42
